cohort_month,market,region,device_type,households,activation_rate,first_week_hours,first_week_app_installs,trc_usage_rate,subscription_conversion_rate,monthly_streaming_hours,ad_supported_share,ad_impressions_per_hour,cpm,fill_rate,subscription_arpu,gross_margin,month_1_retention,month_3_retention,month_6_retention,month_12_retention,support_cost_per_household
2025-01,United Kingdom,Europe,Partner TV,2120,0.7,15.7,4.0,0.345,0.178,113.6,0.604,19.8,21.78,0.783,8.87,0.573,0.65,0.601,0.534,0.422,0.48
2025-01,Germany,Europe,Smart TV OS,4028,0.98,25.7,6.9,0.535,0.173,169.4,0.561,22.9,19.3,0.804,8.08,0.58,0.712,0.669,0.609,0.504,0.47
2025-01,Germany,Europe,Streaming Stick,3261,0.925,19.1,6.4,0.459,0.177,146.9,0.622,21.9,16.54,0.816,8.04,0.574,0.685,0.638,0.575,0.466,0.45
2025-01,Germany,Europe,Streaming Box,1579,0.865,22.2,5.8,0.449,0.16,159.5,0.638,20.2,18.99,0.841,7.86,0.559,0.67,0.625,0.564,0.458,0.47
2025-01,Germany,Europe,Partner TV,1459,0.763,16.7,4.3,0.339,0.157,132.1,0.583,25.4,19.01,0.842,7.89,0.603,0.646,0.598,0.533,0.423,0.47
2025-02,United States,North America,Smart TV OS,15518,0.98,26.0,7.0,0.471,0.244,173.0,0.54,19.0,31.73,0.76,9.79,0.571,0.765,0.719,0.655,0.543,0.58
2025-02,United States,North America,Streaming Stick,13852,0.75,18.5,4.4,0.385,0.241,110.8,0.658,25.0,28.99,0.765,9.63,0.558,0.704,0.652,0.58,0.461,0.52
2025-02,United States,North America,Streaming Box,6496,0.906,18.5,4.8,0.389,0.238,145.6,0.586,24.0,34.74,0.81,10.19,0.603,0.73,0.68,0.612,0.495,0.5
2025-02,United States,North America,Partner TV,5827,0.677,16.3,4.8,0.35,0.239,121.7,0.602,23.1,35.07,0.731,9.54,0.508,0.672,0.621,0.551,0.435,0.5
2025-02,Canada,North America,Smart TV OS,3750,0.964,20.7,5.3,0.435,0.229,169.6,0.636,17.5,26.14,0.783,9.06,0.593,0.718,0.672,0.607,0.497,0.51
2025-02,Canada,North America,Streaming Stick,2510,0.937,22.3,5.9,0.464,0.211,143.8,0.578,22.1,24.65,0.816,8.91,0.486,0.71,0.664,0.601,0.492,0.51
2025-02,Canada,North America,Streaming Box,1224,0.822,18.5,5.1,0.374,0.214,133.7,0.629,19.2,25.38,0.853,8.93,0.55,0.69,0.641,0.574,0.46,0.49
2025-02,Canada,North America,Partner TV,1413,0.8,19.4,5.6,0.378,0.198,126.5,0.653,24.4,21.87,0.786,8.84,0.538,0.688,0.638,0.57,0.455,0.48
2025-02,Mexico,Latin America,Smart TV OS,5056,0.776,19.5,5.6,0.374,0.112,119.2,0.593,26.0,9.49,0.772,5.08,0.488,0.632,0.586,0.524,0.419,0.24
2025-02,Mexico,Latin America,Streaming Stick,3789,0.873,19.0,5.6,0.396,0.133,131.9,0.576,25.9,8.35,0.87,4.94,0.608,0.654,0.61,0.548,0.443,0.26
2025-02,Mexico,Latin America,Streaming Box,2087,0.934,20.2,5.4,0.494,0.123,138.4,0.677,20.9,8.25,0.716,5.16,0.56,0.652,0.61,0.551,0.45,0.26
2025-02,Mexico,Latin America,Partner TV,2210,0.757,15.6,4.5,0.363,0.117,116.2,0.722,21.0,9.74,0.762,5.16,0.5,0.628,0.581,0.518,0.411,0.25
2025-02,Brazil,Latin America,Smart TV OS,5894,0.87,20.8,6.6,0.458,0.111,139.2,0.587,20.5,7.21,0.728,4.27,0.56,0.632,0.59,0.532,0.433,0.23
2025-02,Brazil,Latin America,Streaming Stick,5262,0.901,20.9,5.6,0.45,0.124,154.2,0.566,17.1,7.85,0.741,4.51,0.559,0.634,0.591,0.532,0.431,0.24
2025-02,Brazil,Latin America,Streaming Box,2298,0.799,19.5,5.5,0.379,0.117,120.5,0.661,20.6,8.22,0.826,4.62,0.601,0.603,0.559,0.501,0.401,0.22
2025-02,Brazil,Latin America,Partner TV,2603,0.724,17.5,3.9,0.337,0.111,104.9,0.642,24.7,7.86,0.836,4.29,0.525,0.586,0.542,0.482,0.381,0.23
2025-02,United Kingdom,Europe,Smart TV OS,3963,0.897,21.5,6.2,0.407,0.204,146.9,0.499,19.5,22.48,0.78,8.57,0.538,0.714,0.667,0.602,0.491,0.46
2025-02,United Kingdom,Europe,Streaming Stick,3093,0.836,18.0,5.1,0.43,0.186,145.8,0.613,21.7,23.09,0.736,8.57,0.557,0.7,0.651,0.585,0.471,0.52
2025-02,United Kingdom,Europe,Streaming Box,1529,0.98,24.4,6.0,0.496,0.215,158.9,0.604,25.6,22.06,0.755,8.31,0.547,0.737,0.693,0.633,0.528,0.45
2025-02,United Kingdom,Europe,Partner TV,1784,0.623,14.8,4.4,0.316,0.169,106.5,0.637,24.7,20.09,0.821,8.74,0.543,0.636,0.586,0.518,0.405,0.47
2025-02,Germany,Europe,Smart TV OS,3516,0.98,24.6,7.2,0.54,0.18,176.2,0.597,25.6,18.05,0.788,7.62,0.46,0.697,0.655,0.595,0.492,0.41
2025-02,Germany,Europe,Streaming Stick,2278,0.784,16.8,5.0,0.388,0.153,124.2,0.672,23.0,16.95,0.828,7.91,0.576,0.646,0.599,0.536,0.429,0.41
2025-02,Germany,Europe,Streaming Box,1287,0.98,20.4,6.3,0.475,0.183,153.5,0.615,19.2,17.07,0.725,8.14,0.608,0.694,0.65,0.589,0.484,0.43
2025-02,Germany,Europe,Partner TV,1091,0.775,18.8,5.5,0.37,0.175,120.6,0.659,16.3,16.6,0.688,7.78,0.598,0.652,0.606,0.543,0.436,0.46
2025-03,United States,North America,Smart TV OS,15135,0.817,19.5,5.2,0.357,0.23,134.6,0.569,22.0,35.1,0.857,10.3,0.584,0.71,0.659,0.589,0.47,0.58
2025-03,United States,North America,Streaming Stick,11885,0.868,20.5,5.4,0.402,0.231,132.4,0.556,23.1,33.53,0.868,10.38,0.604,0.722,0.673,0.607,0.493,0.51
2025-03,United States,North America,Streaming Box,6543,0.938,20.2,6.0,0.499,0.273,136.4,0.621,25.0,34.43,0.79,10.11,0.544,0.719,0.672,0.607,0.495,0.5
2025-03,United States,North America,Partner TV,6041,0.646,15.9,4.7,0.292,0.241,109.9,0.578,21.5,31.34,0.819,10.22,0.594,0.666,0.614,0.544,0.427,0.58
2025-03,Canada,North America,Smart TV OS,3541,0.876,19.7,4.6,0.436,0.196,137.8,0.6,22.8,22.32,0.743,8.7,0.608,0.693,0.645,0.579,0.466,0.54
2025-03,Canada,North America,Streaming Stick,2544,0.908,20.5,6.1,0.466,0.222,141.0,0.64,21.7,22.1,0.781,9.32,0.514,0.706,0.658,0.593,0.48,0.46
2025-03,Canada,North America,Streaming Box,1415,0.98,21.9,7.6,0.496,0.223,177.0,0.779,21.8,23.56,0.848,9.38,0.53,0.751,0.705,0.642,0.532,0.47
2025-03,Canada,North America,Partner TV,1321,0.729,16.4,4.4,0.384,0.194,119.6,0.617,24.8,22.93,0.842,8.71,0.534,0.689,0.639,0.57,0.453,0.5
2025-03,Mexico,Latin America,Smart TV OS,5090,0.939,22.2,7.0,0.482,0.123,155.9,0.615,24.8,9.72,0.847,5.23,0.503,0.654,0.612,0.554,0.453,0.23
2025-03,Mexico,Latin America,Streaming Stick,4035,0.863,20.8,5.0,0.462,0.118,147.4,0.604,24.5,9.15,0.757,4.89,0.489,0.65,0.606,0.546,0.442,0.25
2025-03,Mexico,Latin America,Streaming Box,2214,0.953,20.2,6.7,0.416,0.121,161.8,0.582,20.1,8.91,0.769,5.09,0.596,0.646,0.603,0.544,0.444,0.27
2025-03,Mexico,Latin America,Partner TV,2112,0.685,15.1,4.0,0.311,0.12,121.1,0.714,21.3,9.07,0.788,4.81,0.55,0.618,0.57,0.506,0.398,0.27
2025-03,Brazil,Latin America,Smart TV OS,6980,0.98,23.3,7.0,0.495,0.117,166.4,0.664,22.1,7.45,0.814,4.5,0.563,0.656,0.617,0.563,0.469,0.24
2025-03,Brazil,Latin America,Streaming Stick,5031,0.919,20.6,5.1,0.473,0.113,140.7,0.732,23.5,7.94,0.881,4.68,0.51,0.621,0.579,0.522,0.423,0.23
2025-03,Brazil,Latin America,Streaming Box,2636,0.899,20.2,5.0,0.44,0.119,136.9,0.651,19.2,7.84,0.855,4.56,0.493,0.626,0.585,0.527,0.429,0.22
2025-03,Brazil,Latin America,Partner TV,2324,0.812,17.2,5.3,0.413,0.118,117.1,0.65,21.3,7.74,0.844,4.69,0.622,0.611,0.567,0.507,0.405,0.23
2025-03,United Kingdom,Europe,Smart TV OS,4454,0.944,23.1,6.1,0.503,0.196,152.6,0.652,17.3,19.29,0.834,8.62,0.58,0.714,0.668,0.605,0.495,0.43
2025-03,United Kingdom,Europe,Streaming Stick,3100,0.727,18.5,5.3,0.349,0.179,126.8,0.651,22.7,22.72,0.82,8.53,0.466,0.657,0.609,0.543,0.432,0.52
2025-03,United Kingdom,Europe,Streaming Box,1569,0.706,17.0,4.3,0.381,0.168,113.7,0.62,22.1,20.76,0.84,8.79,0.512,0.663,0.613,0.545,0.431,0.48
2025-03,United Kingdom,Europe,Partner TV,1693,0.83,18.2,4.8,0.428,0.204,143.0,0.61,23.6,20.92,0.731,8.27,0.556,0.688,0.639,0.573,0.459,0.46
2025-03,Germany,Europe,Smart TV OS,3255,0.959,22.3,5.7,0.506,0.161,170.1,0.643,24.4,16.7,0.79,7.68,0.541,0.687,0.643,0.583,0.478,0.49
2025-03,Germany,Europe,Streaming Stick,2233,0.804,17.9,5.2,0.415,0.153,139.5,0.623,24.8,18.59,0.73,8.26,0.576,0.644,0.597,0.534,0.426,0.44
2025-03,Germany,Europe,Streaming Box,1200,0.877,20.7,5.7,0.46,0.156,153.5,0.669,19.2,17.86,0.831,7.63,0.571,0.671,0.625,0.562,0.453,0.44
2025-03,Germany,Europe,Partner TV,1279,0.842,20.0,5.0,0.381,0.164,138.4,0.625,24.8,16.55,0.782,8.02,0.51,0.669,0.621,0.556,0.446,0.41
2025-04,United States,North America,Smart TV OS,16586,0.98,23.6,5.3,0.485,0.242,167.0,0.575,21.4,34.04,0.869,9.88,0.602,0.731,0.684,0.62,0.508,0.52
2025-04,United States,North America,Streaming Stick,12610,0.83,21.1,5.5,0.41,0.257,132.6,0.644,17.8,29.92,0.852,9.89,0.589,0.71,0.661,0.594,0.48,0.51
2025-04,United States,North America,Streaming Box,6235,0.874,19.6,6.1,0.46,0.235,150.5,0.607,23.3,32.43,0.757,10.32,0.622,0.709,0.66,0.593,0.479,0.5
2025-04,United States,North America,Partner TV,6427,0.721,16.9,4.3,0.35,0.236,124.8,0.638,21.2,30.81,0.843,10.17,0.575,0.697,0.645,0.574,0.455,0.5
2025-04,Canada,North America,Smart TV OS,3884,0.794,19.9,4.8,0.437,0.223,134.4,0.717,21.9,22.54,0.754,8.73,0.508,0.692,0.644,0.577,0.464,0.47
2025-04,Canada,North America,Streaming Stick,2525,0.799,17.6,5.8,0.385,0.203,129.5,0.664,18.1,25.86,0.764,8.63,0.495,0.678,0.63,0.564,0.453,0.46
2025-04,Canada,North America,Streaming Box,1247,0.7,17.6,4.9,0.367,0.184,115.6,0.656,25.5,24.37,0.828,8.69,0.505,0.679,0.627,0.557,0.44,0.5
2025-04,Canada,North America,Partner TV,1322,0.77,18.1,4.3,0.359,0.215,116.6,0.704,20.1,23.67,0.803,9.37,0.478,0.667,0.618,0.552,0.439,0.49
2025-04,Mexico,Latin America,Smart TV OS,5545,0.803,19.2,5.1,0.41,0.118,133.8,0.707,17.7,9.4,0.805,4.85,0.532,0.63,0.585,0.524,0.42,0.26
2025-04,Mexico,Latin America,Streaming Stick,4474,0.886,21.5,5.6,0.429,0.121,126.0,0.589,16.0,8.17,0.881,5.02,0.541,0.653,0.608,0.546,0.44,0.26
2025-04,Mexico,Latin America,Streaming Box,2098,0.718,16.5,3.9,0.369,0.114,112.3,0.628,17.6,9.49,0.694,5.01,0.584,0.624,0.577,0.513,0.405,0.27
2025-04,Mexico,Latin America,Partner TV,1968,0.711,16.7,5.0,0.336,0.115,105.9,0.496,22.1,8.86,0.661,4.95,0.503,0.62,0.574,0.51,0.403,0.26
2025-04,Brazil,Latin America,Smart TV OS,6124,0.868,20.1,6.4,0.397,0.12,146.8,0.592,19.8,7.68,0.811,4.47,0.562,0.632,0.59,0.532,0.432,0.21
2025-04,Brazil,Latin America,Streaming Stick,4500,0.814,19.1,4.8,0.452,0.123,135.6,0.653,24.7,7.7,0.76,4.46,0.568,0.631,0.587,0.528,0.425,0.22
2025-04,Brazil,Latin America,Streaming Box,2620,0.845,17.3,5.6,0.383,0.12,143.8,0.638,24.3,6.98,0.781,4.68,0.534,0.606,0.563,0.504,0.405,0.22
2025-04,Brazil,Latin America,Partner TV,2190,0.755,18.5,4.4,0.334,0.101,113.5,0.668,24.3,8.21,0.82,4.69,0.549,0.611,0.565,0.503,0.398,0.23
2025-04,United Kingdom,Europe,Smart TV OS,4438,0.98,25.5,7.4,0.517,0.202,165.0,0.625,16.9,19.23,0.817,8.44,0.523,0.723,0.678,0.616,0.509,0.49
2025-04,United Kingdom,Europe,Streaming Stick,3073,0.792,17.8,5.9,0.375,0.205,132.8,0.604,17.5,19.17,0.771,8.55,0.56,0.692,0.643,0.576,0.462,0.48
2025-04,United Kingdom,Europe,Streaming Box,1551,0.886,22.5,6.0,0.477,0.185,161.6,0.67,25.5,20.49,0.789,8.52,0.566,0.697,0.65,0.587,0.477,0.46
2025-04,United Kingdom,Europe,Partner TV,1707,0.74,17.7,4.5,0.393,0.177,117.1,0.538,21.2,21.03,0.778,8.91,0.5,0.682,0.633,0.565,0.45,0.48
2025-04,Germany,Europe,Smart TV OS,2922,0.935,21.3,5.3,0.451,0.169,133.2,0.59,16.6,19.16,0.795,8.22,0.609,0.693,0.647,0.583,0.473,0.46
2025-04,Germany,Europe,Streaming Stick,2462,0.98,23.8,7.1,0.534,0.178,188.1,0.622,23.4,17.85,0.729,8.19,0.554,0.71,0.667,0.608,0.505,0.42
2025-04,Germany,Europe,Streaming Box,1259,0.891,22.8,5.4,0.41,0.162,161.7,0.648,24.8,18.94,0.839,7.73,0.585,0.673,0.628,0.566,0.461,0.45
2025-04,Germany,Europe,Partner TV,1145,0.804,17.5,4.4,0.386,0.162,132.5,0.562,24.2,17.81,0.772,7.78,0.603,0.644,0.597,0.534,0.426,0.42
2025-05,United States,North America,Smart TV OS,16437,0.924,20.8,6.5,0.443,0.252,146.5,0.52,18.4,33.68,0.764,9.99,0.537,0.726,0.678,0.613,0.501,0.59
2025-05,United States,North America,Streaming Stick,12886,0.749,18.8,5.4,0.388,0.217,121.3,0.651,20.1,32.44,0.849,10.33,0.63,0.681,0.631,0.563,0.447,0.52
2025-05,United States,North America,Streaming Box,6738,0.98,25.0,7.0,0.516,0.249,153.6,0.608,19.4,32.36,0.828,9.66,0.487,0.742,0.695,0.63,0.517,0.5
2025-05,United States,North America,Partner TV,6177,0.742,17.7,4.8,0.327,0.223,108.5,0.627,22.8,34.01,0.753,9.77,0.503,0.693,0.641,0.57,0.45,0.52
2025-05,Canada,North America,Smart TV OS,3551,0.98,22.8,7.2,0.532,0.215,164.1,0.671,25.9,21.79,0.859,9.01,0.572,0.747,0.702,0.639,0.529,0.46
2025-05,Canada,North America,Streaming Stick,2833,0.862,19.3,4.9,0.39,0.223,135.8,0.584,25.8,23.58,0.816,9.37,0.613,0.696,0.648,0.582,0.469,0.52
2025-05,Canada,North America,Streaming Box,1241,0.944,20.9,5.3,0.415,0.225,146.5,0.601,18.7,22.92,0.798,8.66,0.523,0.704,0.657,0.592,0.481,0.49
2025-05,Canada,North America,Partner TV,1443,0.98,22.3,5.4,0.445,0.211,163.5,0.677,24.5,22.69,0.819,9.32,0.501,0.733,0.687,0.622,0.511,0.51
2025-05,Mexico,Latin America,Smart TV OS,5183,0.98,24.0,7.1,0.499,0.129,157.2,0.645,23.5,8.62,0.832,4.86,0.552,0.678,0.635,0.575,0.473,0.25
2025-05,Mexico,Latin America,Streaming Stick,4111,0.931,23.6,6.9,0.445,0.129,163.8,0.639,25.6,9.4,0.806,5.23,0.506,0.669,0.626,0.567,0.464,0.26
2025-05,Mexico,Latin America,Streaming Box,2304,0.98,23.0,6.7,0.565,0.131,167.5,0.627,19.0,9.49,0.719,5.04,0.565,0.696,0.655,0.598,0.498,0.27
2025-05,Mexico,Latin America,Partner TV,1982,0.701,17.8,4.8,0.359,0.124,109.1,0.613,25.5,8.19,0.721,5.17,0.529,0.615,0.569,0.507,0.402,0.24
2025-05,Brazil,Latin America,Smart TV OS,6757,0.98,22.1,5.9,0.443,0.123,178.2,0.632,20.8,7.42,0.813,4.36,0.543,0.659,0.618,0.561,0.463,0.23
2025-05,Brazil,Latin America,Streaming Stick,4875,0.645,14.3,4.9,0.351,0.1,117.3,0.672,17.2,6.86,0.896,4.3,0.554,0.583,0.538,0.476,0.374,0.23
2025-05,Brazil,Latin America,Streaming Box,2531,0.85,20.6,6.2,0.433,0.114,141.2,0.552,17.7,7.94,0.806,4.33,0.609,0.632,0.588,0.529,0.427,0.24
2025-05,Brazil,Latin America,Partner TV,2489,0.684,16.4,3.7,0.338,0.108,102.9,0.587,21.7,7.18,0.831,4.54,0.641,0.579,0.534,0.473,0.371,0.23
2025-05,United Kingdom,Europe,Smart TV OS,4570,0.943,23.3,6.5,0.433,0.189,156.2,0.574,23.4,19.9,0.784,8.53,0.553,0.711,0.666,0.603,0.495,0.48
2025-05,United Kingdom,Europe,Streaming Stick,3379,0.98,25.4,6.4,0.494,0.191,167.2,0.498,25.2,20.97,0.861,8.88,0.486,0.729,0.684,0.621,0.512,0.45
2025-05,United Kingdom,Europe,Streaming Box,1516,0.969,21.0,6.3,0.517,0.207,171.1,0.592,17.7,21.53,0.822,8.61,0.534,0.708,0.664,0.603,0.497,0.5
2025-05,United Kingdom,Europe,Partner TV,1783,0.596,14.2,4.2,0.319,0.169,109.5,0.629,21.8,23.07,0.847,8.51,0.54,0.629,0.579,0.511,0.398,0.51
2025-05,Germany,Europe,Smart TV OS,3010,0.98,24.3,7.3,0.487,0.193,166.8,0.657,18.7,17.36,0.821,8.04,0.554,0.723,0.679,0.618,0.512,0.46
2025-05,Germany,Europe,Streaming Stick,2519,0.815,18.8,5.1,0.379,0.164,127.9,0.622,21.5,16.28,0.833,7.73,0.559,0.676,0.629,0.564,0.454,0.43
2025-05,Germany,Europe,Streaming Box,1093,0.967,23.0,5.3,0.508,0.173,147.5,0.691,24.0,19.41,0.808,7.73,0.577,0.699,0.654,0.593,0.486,0.45
2025-05,Germany,Europe,Partner TV,1128,0.773,18.6,5.3,0.386,0.156,137.5,0.691,18.2,16.37,0.871,8.16,0.554,0.653,0.606,0.541,0.432,0.44
2025-06,United States,North America,Smart TV OS,17170,0.964,24.3,6.9,0.503,0.263,148.2,0.607,18.2,31.71,0.823,9.67,0.507,0.746,0.699,0.634,0.522,0.6
2025-06,United States,North America,Streaming Stick,13682,0.98,20.0,6.9,0.507,0.275,139.9,0.581,21.5,29.3,0.654,10.1,0.428,0.746,0.698,0.631,0.517,0.54
2025-06,United States,North America,Streaming Box,5863,0.98,24.5,5.6,0.513,0.261,175.0,0.591,23.3,31.16,0.837,9.71,0.534,0.75,0.703,0.638,0.526,0.6
2025-06,United States,North America,Partner TV,5941,0.834,21.3,5.3,0.447,0.263,131.9,0.559,25.9,29.76,0.71,10.16,0.514,0.72,0.67,0.602,0.486,0.5
2025-06,Canada,North America,Smart TV OS,3782,0.98,25.7,7.0,0.604,0.234,188.9,0.606,17.2,25.85,0.768,8.67,0.541,0.775,0.732,0.672,0.566,0.52
2025-06,Canada,North America,Streaming Stick,2584,0.912,19.5,5.7,0.433,0.199,147.4,0.553,22.5,22.12,0.811,8.76,0.57,0.702,0.655,0.591,0.48,0.49
2025-06,Canada,North America,Streaming Box,1317,0.826,20.1,5.7,0.38,0.209,140.5,0.64,25.4,21.71,0.848,9.23,0.566,0.695,0.647,0.582,0.47,0.53
2025-06,Canada,North America,Partner TV,1465,0.786,19.1,4.1,0.362,0.197,123.2,0.615,20.5,25.64,0.831,8.97,0.621,0.665,0.616,0.549,0.437,0.5
2025-06,Mexico,Latin America,Smart TV OS,6098,0.98,21.3,6.2,0.431,0.128,154.2,0.626,21.0,9.65,0.726,4.88,0.446,0.676,0.633,0.573,0.47,0.24
2025-06,Mexico,Latin America,Streaming Stick,4600,0.793,17.8,4.9,0.362,0.125,130.4,0.57,18.6,8.74,0.833,5.1,0.519,0.628,0.584,0.523,0.42,0.24
2025-06,Mexico,Latin America,Streaming Box,2130,0.799,18.0,5.9,0.388,0.114,121.3,0.638,24.1,9.79,0.709,5.09,0.506,0.636,0.591,0.53,0.425,0.27
2025-06,Mexico,Latin America,Partner TV,1958,0.866,20.7,5.7,0.405,0.133,147.7,0.603,17.1,8.53,0.787,4.76,0.527,0.637,0.594,0.535,0.434,0.23
2025-06,Brazil,Latin America,Smart TV OS,6253,0.98,21.6,5.8,0.43,0.124,141.4,0.659,21.0,7.55,0.769,4.61,0.558,0.638,0.597,0.54,0.442,0.24
2025-06,Brazil,Latin America,Streaming Stick,4736,0.895,21.3,6.1,0.409,0.124,154.0,0.534,22.6,6.8,0.786,4.62,0.606,0.618,0.575,0.518,0.419,0.24
2025-06,Brazil,Latin America,Streaming Box,2292,0.871,19.2,4.6,0.405,0.112,130.1,0.625,24.9,7.39,0.828,4.49,0.518,0.619,0.576,0.516,0.416,0.21
2025-06,Brazil,Latin America,Partner TV,2232,0.776,17.0,4.9,0.362,0.118,130.8,0.636,24.4,6.96,0.812,4.34,0.563,0.599,0.555,0.495,0.394,0.22
2025-06,United Kingdom,Europe,Smart TV OS,4778,0.913,20.5,6.2,0.487,0.211,141.6,0.626,18.6,21.68,0.758,8.86,0.559,0.713,0.667,0.604,0.494,0.45
2025-06,United Kingdom,Europe,Streaming Stick,3357,0.922,21.6,5.6,0.404,0.194,133.2,0.652,25.2,19.27,0.941,8.85,0.52,0.71,0.662,0.596,0.484,0.46
2025-06,United Kingdom,Europe,Streaming Box,1634,0.796,19.1,4.8,0.44,0.178,129.1,0.601,19.4,21.65,0.707,8.87,0.48,0.69,0.642,0.576,0.463,0.52
2025-06,United Kingdom,Europe,Partner TV,1590,0.739,16.9,4.8,0.35,0.178,111.0,0.527,18.6,21.53,0.789,8.36,0.528,0.662,0.613,0.547,0.434,0.51
2025-06,Germany,Europe,Smart TV OS,3256,0.98,24.7,6.3,0.514,0.173,167.5,0.669,20.6,16.53,0.757,7.69,0.55,0.683,0.64,0.579,0.475,0.45
2025-06,Germany,Europe,Streaming Stick,2577,0.809,19.2,5.3,0.413,0.151,139.9,0.649,24.6,18.53,0.824,7.74,0.499,0.669,0.622,0.556,0.446,0.47
2025-06,Germany,Europe,Streaming Box,1102,0.837,20.7,5.7,0.38,0.171,129.1,0.667,19.0,16.34,0.721,7.62,0.548,0.677,0.63,0.565,0.454,0.47
2025-06,Germany,Europe,Partner TV,1261,0.685,15.7,4.3,0.327,0.153,106.6,0.648,26.0,16.48,0.807,7.73,0.569,0.634,0.585,0.519,0.408,0.43
2025-07,United States,North America,Smart TV OS,17687,0.98,23.7,7.4,0.452,0.245,151.9,0.467,18.1,30.07,0.773,9.99,0.599,0.751,0.705,0.641,0.53,0.54
2025-07,United States,North America,Streaming Stick,11689,0.924,21.9,6.5,0.501,0.238,151.4,0.677,23.3,30.64,0.858,9.56,0.653,0.741,0.693,0.627,0.514,0.59
2025-07,United States,North America,Streaming Box,5699,0.864,18.3,6.1,0.4,0.259,142.2,0.621,25.9,29.76,0.841,9.54,0.605,0.717,0.668,0.6,0.485,0.59
2025-07,United States,North America,Partner TV,6533,0.779,17.6,5.0,0.378,0.233,129.9,0.621,19.7,29.76,0.689,10.09,0.557,0.702,0.651,0.583,0.466,0.57
2025-07,Canada,North America,Smart TV OS,3411,0.898,19.0,4.8,0.389,0.197,150.1,0.662,21.9,25.23,0.697,8.55,0.582,0.716,0.668,0.601,0.486,0.55
